,book_id,subchapter_id,subchaptersection_idAndLinkedIds
0,75,12340,"[49914, [49916, 49915, 50629, 50625, 50651]]"
1,75,12340,"[49915, [49916, 49914, 51025, 51172, 49988]]"
2,75,12340,"[49916, [49914, 49915, 50627, 50626, 49989]]"
3,75,12340,"[49917, [49916, 49992, 50134, 49915, 51212]]"
4,75,12342,"[49918, [49920, 50629, 50133, 50619, 50621]]"
5,75,12342,"[49919, [49920, 49921, 49918, 50178, 49995]]"
6,75,12342,"[49920, [49918, 49919, 49921, 50178, 49995]]"
7,75,12342,"[49921, [50169, 50621, 51419, 51420, 49919]]"
8,75,12343,"[49922, [50032, 49923, 49924, 51071, 51034]]"
9,75,12344,"[49923, [49924, 49922, 51163, 51396, 50573]]"
10,75,12344,"[49924, [49925, 51406, 49923, 51408, 51393]]"